GROUP.ID,SAMPLING.EVENT.IDENTIFIER,GRID_CODE
G15598341,S275010645,GJ-KU-BHU-065
G15598276,S275010680,GJ-KU-BHU-150
G15597268,S275010782,GJ-KU-ANJ-013
G15598071,S275010895,GJ-KU-ABD-087
G15606194,S275010968,GJ-KU-BHA-067
G15598211,S275011002,GJ-KU-BHU-107
G15605804,S275011082,GJ-KU-ANJ-034
G15596453,S275011102,GJ-KU-ANJ-037
G15600980,S275011142,GJ-KU-RAN-501
G15593692,S275011227,GJ-KU-BHU-104
G15592815,S275011463,GJ-KU-ABD-043
G15593343,S275011577,GJ-KU-BHU-090
G15592921,S275011626,GJ-KU-MAN-040
G15592876,S275011678,GJ-KU-RAP-067
G15592882,S275011727,GJ-KU-RAP-079
G15592887,S275011745,GJ-KU-RAP-069
G15592923,S275011834,GJ-KU-MAN-037
G15592924,S275011871,GJ-KU-MAN-018
G15592816,S275011992,GJ-KU-NAK-051
G15592925,S275031426,GJ-KU-MAN-029
G15598074,S275031502,GJ-KU-ABD-062
G15598076,S275031590,GJ-KU-ABD-079
G15598080,S275031689,GJ-KU-ABD-072
G15592659,S275031955,GJ-KU-ABD-083
G15594779,S275032067,GJ-KU-ABD-010
G15592409,S275032132,GJ-KU-RAP-053
G15597338,S275032361,GJ-KU-ABD-047
G15591917,S275032470,GJ-KU-BHU-100
G15591886,S275032585,GJ-KU-BHA-005
G15591850,S275032614,GJ-KU-RAN-389
G15591851,S275032748,GJ-KU-BHA-011
G15591852,S275032791,GJ-KU-BHA-009
G15591639,S275032951,GJ-KU-LAK-046
G15591640,S275032989,GJ-KU-LAK-018
G15600370,S275033120,GJ-KU-ABD-013
G15600371,S275033145,GJ-KU-ABD-023
G15591380,S275033315,GJ-KU-BHU-088
G15591337,S275033386,GJ-KU-ABD-029
G15591835,S275033527,GJ-KU-ANJ-030
G15591439,S275033609,GJ-KU-LAK-009
G15591492,S275033697,GJ-KU-NAK-067
G15595370,S275033803,GJ-KU-RAP-005
G15595371,S275033828,GJ-KU-RAP-004
G15591085,S275033938,GJ-KU-RAP-077
G15612215,S275034025,GJ-KU-BHA-043
G15593475,S275034102,GJ-KU-BHU-139
G15591039,S275034190,GJ-KU-BHU-036
G15597551,S275034293,GJ-KU-RAP-033
G15598265,S275034421,GJ-KU-LAK-003
G15597949,S275034519,GJ-KU-BHU-047
G15591217,S275034632,GJ-KU-ANJ-012
G15591869,S275034769,GJ-KU-LAK-068
G15612622,S275055762,GJ-KU-RAN-167
G15612623,S275055790,GJ-KU-RAN-219
G15590717,S275056029,GJ-KU-ABD-065
G15591088,S275056104,GJ-KU-NAK-068
